SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,LUMEANTS92,LUMEDTS92,LUMEANTS93,LUMEDTS93,LUMEANTS94,LUMEDTS94,LUMEANTS95,LUMEDTS95,LUMEANTS96,LUMEDTS96,LUMEANTS97,LUMEDTS97,LUMEANTS98,LUMEDTS98,LUMEANTS99,LUMEDTS99,LUMEANTS00,LUMEDTS00,LUMEANTS01,LUMEDTS01,LUMEANTS02,LUMEDTS02,LUMEANTS03,LUMEDTS03,LUMEANTS04,LUMEDTS04,LUMEANTS05,LUMEDTS05,LUMEANTS06,LUMEDTS06,LUMEANTS07,LUMEDTS07,LUMEANTS08,LUMEDTS08,LUMEANTS09,LUMEDTS09,LUMEANTS10,LUMEDTS10,LUMEANTS11,LUMEDTS11,LUMEANTS12,LUMEDTS12,LUMEANTS13,LUMEDTS13,LUMEANTS14,LUMEDTS14,LUMEANTS15,LUMEDTS15,LUMEANTS16,LUMEDTS16,LUMEANTS17,LUMEDTS17,LUMEANTS18,LUMEDTS18
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017013,Ingapu,အင်္ဂပူ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051481302,0,0.010684798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852355512,0,1.23409422,0,0.268576979,0,1.111704711,0,0.004952988582941572,0,0.0012592343854936198,0,0.004365345869711216,0,0.008562793821356616,0,0.009989926124916051,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017014,Myaungmya,မြောင်းမြ,0.26953405,0,0.335483871,0,0.32688172,0,0.623655914,0,0.660215054,0,0.454480287,0,0.303942652,0,0.237275986,0,0.311111111,0,0.241577061,0,0.184229391,0,0.119713262,0,0.065949821,0,0.055913978,0,0.08172043,0,0.079569892,0,0.133333333,0,0,0,0.36702509,0,0.421505376,0,0.417921147,0,0.510394265,0,0.026118945432250153,0,0.01336603310852238,0,0.027713059472716125,0,0.030288166768853465,0,0.0381361128142244,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017015,Einme,အိမ္မဲ,0.085714286,0,0.145054945,0,0.216483516,0,0.158241758,0,0.186813187,0,0.178021978,0,0.096703297,0,0.052747253,0,0.179120879,0,0.136263736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131868132,0,0.231868132,0,0.207692308,0,0.275824176,0,0.00697192387412851,0,0.003580177124552478,0,0.008856227623892972,0,0.011682683248539664,0,0.010740531373657434,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017016,Labutta,လပွတ္တာ,0.013039117,0,0.021731862,0,0.019725844,0,0.055499833,0,0.199598796,0,0.039117352,0,0.011701772,0,0.030424607,0,0.052490806,0,0.039786025,0,0,0,0.027081244,0,0.035439652,0,0.045469743,0,0.068873287,0,0.043798061,0,0.021397526,0,0.032096289,0,0.191909061,0,0.151120027,0,0.106653293,0,0.099966566,0,0.005693027450538301,0,0.0010709655600022547,0,0.005862127275801815,0,0.007045826052646412,0,0.007947691787385153,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017017,Wakema,ဝါးခယ်မ,0.045582048,0,0.082748948,0,0.035764376,0,0.08345021,0,0.12342216,0,0.038569425,0,0.058204769,0,0.05259467,0,0.091164095,0,0.046984572,0,0.053997195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076437588,0,0.366058906,0,0.112903226,0,0.329593268,0,0.013605442176870748,0,0.00035803795202291446,0,0.008473564864542309,0,0.011457214464733263,0,0.0115765604487409,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017018,Mawlamyinegyun,မော်လမြိုင်ကျွန်း,0.047779273,0,0.051144011,0,0.043068641,0,0.067294751,0,0.160834455,0,0.012113055,0,0,0,0,0,0.028263795,0,0.012113055,0,0,0,0.018169583,0,0,0,0.01345895,0,0.018169583,0,0,0,0,0,0,0,0.127860027,0,0.233512786,0,0.109690444,0,0.183041723,0,0.00311994453431939,0,0,0,0.00311994453431939,0,0.005199907557198983,0,0.005546568061012249,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017019,Maubin,မအူပင်,0.099357101,0,0.084745763,0,0.1157218,0,0.146697838,0,0.185271771,0,0.153126826,0,0.130333139,0,0.134424313,0,0.280537697,0,0.148451198,0,0.147866745,0,0.175920514,0,0.123319696,0,0.102863822,0,0.114552893,0,0.104032729,0,0.086499123,0,0,0,0.291057861,0,0.464640561,0,0.302162478,0,0.480420807,0,0.02752,0,0.009493333333333333,0,0.029333333333333333,0,0.023466666666666667,0,0.028586666666666666,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017020,Pantanaw,ပန်းတနော်,0,0,0,0,0,0,0,0,0,0,0.041230769,0,0.005538462,0,0.017846154,0,0.094153846,0,0.040615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142769231,0,0.134153846,0,0.128,0,0.218461538,0,0.003808717731696995,0,0,0,0.004231908590774439,0,0.008887008040626322,0,0.008252221752010156,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017021,Nyaungdon,ညောင်တုန်း,0.073703367,0,0.029117379,0,0.057324841,0,0.057324841,0,0.066424022,0,0.219290264,0,0.196542311,0,0.161965423,0,0.393084622,0,0.293903549,0,0.171974522,0,0.100090992,0,0.040036397,0,0.041856233,0,0.032757052,0,0,0,0,0,0,0,0.813466788,0,1.618744313,0,0.743403094,0,1.326660601,0,0.02521139993736298,0,0.04854368932038835,0,0.053084873160037585,0,0.028186658315064204,0,0.05151894769808957,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017022,Danubyu,ဓနုဖြူ,0.099453552,0,0.096174863,0,0.151912568,0,0.33442623,0,0.353005464,0,0.213114754,0,0.182513661,0,0.150819672,0,0.241530055,0,0.13989071,0,0.043715847,0,0.031693989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16284153,0,0.295081967,0,0.272131148,0,0.391256831,0,0.011416807037244993,0,0.008235073928504585,0,0.016282987085906794,0,0.0170316301703163,0,0.02152348867677335,0
